apply	function_address	function_name	target_kind	target_name	target_locator	expected_type	expected_source	proposed_type	access_count	field_count	confidence	type_evidence	evidence_sites	reason
0	007527A0	FUN_007527a0	parameter	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	3	existing	{}	existing generated baseline /SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	script-owned anonymous structure already covers the observed extent and fields
0	007527A0	FUN_007527a0	parameter	param_2	Stack[0x8]:4	/int	DEFAULT		0	0	review	{}		incoming scalar ABI slot is fully overwritten before its pointer-shaped lifetime; split the post-write local instead of changing the parameter
0	007527A0	FUN_007527a0	parameter	param_3	Stack[0xc]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00752A60	FUN_00752a60	parameter	param_4	Stack[0x10]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00752A60	FUN_00752a60	parameter	param_5	Stack[0x14]:4	/int	DEFAULT		0	0	review	{}		incoming scalar ABI slot is fully overwritten before its pointer-shaped lifetime; split the post-write local instead of changing the parameter
0	00752A60	FUN_00752a60	parameter	param_6	Stack[0x18]:1	/char	DEFAULT		0	0	review	{}		non-pointer-sized Listing storage is an inline stack/scalar root; pointer-shape evidence is retained for aggregate recovery only
0	00752A60	FUN_00752a60	parameter	param_7	Stack[0x1c]:4	pointer:/uint	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00752A60	FUN_00752a60	parameter	param_1	Stack[0x4]:4	/int	DEFAULT		0	0	review	{}		incoming scalar ABI slot is fully overwritten before its pointer-shaped lifetime; split the post-write local instead of changing the parameter
0	00752A60	FUN_00752a60	parameter	param_2	Stack[0x8]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00752A60	FUN_00752a60	parameter	param_3	Stack[0xc]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00752CF0	FUN_00752cf0	parameter	param_4	Stack[0x10]:1	/char	DEFAULT		0	0	review	{}		non-pointer-sized Listing storage is an inline stack/scalar root; pointer-shape evidence is retained for aggregate recovery only
0	00752CF0	FUN_00752cf0	parameter	param_5	Stack[0x14]:4	pointer:/uint	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00752CF0	FUN_00752cf0	parameter	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	3	existing	{}	existing generated baseline /SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	script-owned anonymous structure already covers the observed extent and fields
0	00752CF0	FUN_00752cf0	parameter	param_2	Stack[0x8]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00752CF0	FUN_00752cf0	parameter	param_3	Stack[0xc]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00752E10	FUN_00752e10	parameter	param_1	Stack[0x4]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00753020	FUN_00753020	parameter	param_1	Stack[0x4]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00753020	FUN_00753020	parameter	param_2	Stack[0x8]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
0	00753050	FUN_00753050	parameter	param_1	Stack[0x4]:4	/int	DEFAULT		0	0	review	{}		conflicting or invalid access widths
