apply	type_path	offset	size	proposed_name	proposed_type	evidence_count	reason
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0453	19	4	field_0013	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0453	23	4	field_0017	/undefined4	1	nested reads=0, writes=1
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0457	0	1	field_0000	/undefined1	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0457	2	1	field_0002	/undefined1	1	nested reads=0, writes=1
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0457	3	4	field_0003	/undefined4	2	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0457	19	4	field_0013	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0457	23	4	field_0017	/undefined4	1	nested reads=0, writes=1
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_008D	138	4	field_008A	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_008D	160	4	field_00A0	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06BF	4	4	field_0004	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06BF	8	4	field_0008	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06BF	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06BF	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06CB	4	4	field_0004	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06CB	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06CB	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06CB	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MainMenuTy_1AA7	0	4	field_0000	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MainMenuTy_1AA7	4	4	field_0004	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MainMenuTy_1AA7	8	4	field_0008	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MainMenuTy_1AA7	12	4	field_000C	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_0072	4	4	field_0004	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_0072	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_0072	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_0072	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_0076	4	4	field_0004	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_0076	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_0076	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_0076	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_007A	4	4	field_0004	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MoneyTy_007A	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
