function_address	enum_name	status	detail
004DE300	Global_sub_004DE300_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004DE300_param_1Enum; parameter already uses enum
004DEEB0	Global_sub_004DEEB0_switch_0Enum	disabled	apply=0
004E0040	RecoveredRecordView_004E0040_BB411413_field_05ACState	disabled	apply=0
004E0250	RecoveredRecordView_004E0250_21BF6808_field_05ACState	disabled	apply=0
004E04A0	RecoveredRecordView_004E04A0_E5D04031_field_04E8State	disabled	apply=0
004E04A0	Global_sub_004E04A0_iVar1Enum	disabled	apply=0
004E13A0	Global_sub_004E13A0_switch_0Enum	disabled	apply=0
004E1490	Global_sub_004E1490_switch_0Enum	disabled	apply=0
004E16D0	Global_sub_004E16D0_switch_0Enum	disabled	apply=0
004E1930	Global_sub_004E1930_switch_0Enum	disabled	apply=0
004E4B60	STMineSetC_field_0245State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STMineSetC_field_0245State; field already uses enum
004E80F0	STAllPlayersC_sub_004E80F0_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STAllPlayersC_sub_004E80F0_param_2Enum; parameter already uses enum
004E9CE0	TLOBaseTy_field_046CState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/TLOBaseTy_field_046CState; field already uses enum
004EAF90	RecoveredRecordView_004EAF90_6FAC7F27_field_04D0State	disabled	apply=0
004EC0F0	Global_sub_004EC0F0_iVar1Enum	disabled	apply=0
004EC2A0	Global_sub_004EC2A0_iVar1Enum	disabled	apply=0
004EC700	Global_sub_004EC700_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004EC700_param_1Enum; parameter already uses enum
004EC900	Global_sub_004EC900_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004EC900_param_1Enum; parameter already uses enum
004ECEA0	Global_sub_004ECEA0_switch_1Enum	disabled	apply=0
004ED430	RecoveredRecord_004ED430_B731E46F_field_04D0State	disabled	apply=0
004ED4B0	RecoveredRecord_004ED4B0_7C418538_field_04D0State	disabled	apply=0
004ED630	BehPanelTy_InitBehPanel_switch_0Enum	disabled	apply=0
004ED630	BehPanelTy_InitBehPanel_switch_1Enum	disabled	apply=0
004EE4D0	BehPanelTy_GetMessage_SVar1Enum	disabled	apply=0
004EEA40	BldBoatPanelTy_InitBldBoatPanel_uVar10Enum	disabled	apply=0
004EF5F0	AnonNested_004EF5F0_0014_2E827CED_field_0000State	disabled	apply=0
004EF5F0	AnonNested_004EF5F0_0014_2E827CED_field_0004State	disabled	apply=0
004F05C0	BldObjPanelTy_InitBldObjPanel_uVar9Enum	disabled	apply=0
004F19D0	Global_sub_004F19D0_param_2Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_004F19D0_param_2Enum; parameter already uses enum
004F2560	AnonShape_004F2560_DB98CB49_field_001EState	disabled	apply=0
004F2E40	CPanelTy_SetButStruct_uVar2Enum	disabled	apply=0
004F3130	CPanelTy_CreateBut_uVar2Enum	disabled	apply=0
004F3540	CPanelTy_PaintBut_uVar2Enum	disabled	apply=0
004F37C0	CPanelTy_PaintBBut_uVar2Enum	disabled	apply=0
004F3A30	CPanelTy_PaintTxtBut_uVar2Enum_004F3A30	disabled	apply=0
004F3CF0	CPanelTy_PaintTxtBut_uVar2Enum_004F3CF0	disabled	apply=0
004F3FE0	CPanelTy_PaintLBut_uVar2Enum	disabled	apply=0
004F42A0	CPanelTy_PaintTab_uVar2Enum	disabled	apply=0
004F80A0	CPanelTy_field_0260State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_field_0260State; field already uses enum
004F80A0	CPanelTy_PaintTV_switch_0Enum	disabled	apply=0
004F96A0	CPanelTy_PlayBrief_switch_0Enum	disabled	apply=0
004F9ED0	CPanelTy_field_023FState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_field_023FState; field already uses enum
004FA870	CPanelTy_sub_004FA870_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_sub_004FA870_param_1Enum; parameter already uses enum
004FAB10	CPanelTy_sub_004FAB10_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_sub_004FAB10_param_1Enum; parameter already uses enum
004FB060	CPanelTy_field_0BF5State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_field_0BF5State; field already uses enum
004FB060	CPanelTy_GetMessage_DAT_0080c4f7Enum	disabled	apply=0
004FB060	CPanelTy_GetMessage_SVar1Enum	disabled	apply=0
004FB060	CPanelTy_GetMessage_iVar4Enum	disabled	apply=0
004FB060	CPanelTy_GetMessage_local_18Enum	disabled	apply=0
004FB060	CPanelTy_GetMessage_switch_3Enum	disabled	apply=0
004FB060	CPanelTy_GetMessage_uVar5Enum	disabled	apply=0
00500BD0	CPanelTy_PaintNewDeep_bVar8Enum	disabled	apply=0
00501590	CPanelTy_field_0B99State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_field_0B99State; field already uses enum
00501590	CPanelTy_field_0B9EState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_field_0B9EState; field already uses enum
00503450	CPanelTy_SetControlBoatSI_local_8Enum	disabled	apply=0
00503450	CPanelTy_SetControlBoatSI_uVar14Enum	disabled	apply=0
00503BB0	CPanelTy_SetCmdBoat_bVar1Enum	disabled	apply=0
005050B0	CPanelTy_sub_005050B0_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_sub_005050B0_param_1Enum; parameter already uses enum
00505230	CPanelTy_PaintMunition_local_28Enum	disabled	apply=0
00505DF0	CPanelTy_field_0C29State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_field_0C29State; field already uses enum
005061C0	CPanelTy_field_0BFAState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_field_0BFAState; field already uses enum
005061C0	CPanelTy_field_0C11State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_field_0C11State; field already uses enum
005061C0	CPanelTy_field_0C3CState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/CPanelTy_field_0C3CState; field already uses enum
0050A340	CPanelTy_PaintCtrlObjSI_CVar3Enum	disabled	apply=0
0050F430	CPanelTy_SetCmdObj_bVar1Enum	disabled	apply=0
005105E0	RecoveredRecordView_005105E0_C0011880_field_0014State	disabled	apply=0
00510C80	HelpPanelTy_field_0172State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/HelpPanelTy_field_0172State; field already uses enum
005121F0	Global_sub_005121F0_switch_0Enum	disabled	apply=0
005121F0	Global_sub_005121F0_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/Global_sub_005121F0_param_1Enum; parameter already uses enum
00514330	HelpPanelTy_BwdBut_switch_0Enum	disabled	apply=0
005145E0	HelpPanelTy_FwdBut_switch_0Enum	disabled	apply=0
005149B0	HelpPanelTy_LinkAct_bVar1Enum	disabled	apply=0
00514BC0	HelpPanelTy_sub_00514BC0_bVar1Enum	disabled	apply=0
00514BC0	HelpPanelTy_sub_00514BC0_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/HelpPanelTy_sub_00514BC0_param_1Enum; parameter already uses enum
0051B5A0	HelpPanelTy_ArmProc_switch_0Enum	disabled	apply=0
0051DDD0	HelpPanelTy_field_01A1State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/HelpPanelTy_field_01A1State; field already uses enum
