apply	function_address	expected_function	expected_signature	label_address	decompiler_label	existing_primary_name	existing_primary_source	proposed_name	kind	goto_count	cfg_incoming	back_edges_into	back_edges_from	confidence	reason	preview
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A247	LAB_0043a247	LAB_0043a247	DEFAULT	cf_join_0043A247	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	0043A247 MOV CX,word ptr [EDI + 0x32]; 0043A24B MOV DL,byte ptr [EDI + 0x24]; 0043A24E MOV EAX,dword ptr [EDI + 0x20]; 0043A251 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A27B	LAB_0043a27b	LAB_0043a27b	DEFAULT	cf_join_0043A27B	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	0043A27B MOV CX,word ptr [EDI + 0x32]; 0043A27F MOV DL,byte ptr [EDI + 0x24]; 0043A282 MOV EAX,dword ptr [EDI + 0x20]; 0043A285 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A2BC	LAB_0043a2bc	LAB_0043a2bc	DEFAULT	cf_join_0043A2BC	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	0043A2BC PUSH 0x7a760c; 0043A2C1 PUSH 0x7a4ccc; 0043A2C6 PUSH 0x0; 0043A2C8 PUSH 0x0; calls=ReportDebugMessage
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A2EA	LAB_0043a2ea	LAB_0043a2ea	DEFAULT	cf_join_0043A2EA	join	1	4	0	0	medium	multi-predecessor target; semantic role requires review	0043A2EA MOV CX,word ptr [EDI + 0x32]; 0043A2EE MOV DL,byte ptr [EDI + 0x24]; 0043A2F1 MOV EAX,dword ptr [EDI + 0x20]; 0043A2F4 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A31A	joined_r0x0043a31a	LAB_0043a31a	DEFAULT	cf_branch_target_0043A31A	branch_target	1	1	0	0	review	single-predecessor unstructured target	0043A31A JGE 0x0043a107
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A320	LAB_0043a320	LAB_0043a320	DEFAULT	cf_join_0043A320	join	1	3	0	0	medium	multi-predecessor target; semantic role requires review	0043A320 PUSH 0x1; 0043A322 PUSH EBX; 0043A323 MOV ECX,ESI; 0043A325 CALL 0x00405920; calls=STAllPlayersC::PushTV|STAllPlayersC::ResetActivityFromTmp
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A394	LAB_0043a394	LAB_0043a394	DEFAULT	cf_join_0043A394	join	3	4	0	0	medium	multi-predecessor target; semantic role requires review	0043A394 MOV DX,word ptr [EDI + 0x32]; 0043A398 MOV AL,byte ptr [EDI + 0x24]; 0043A39B MOV ECX,dword ptr [EDI + 0x20]; 0043A39E MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A3C8	LAB_0043a3c8	LAB_0043a3c8	DEFAULT	cf_join_0043A3C8	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	0043A3C8 MOV DX,word ptr [EDI + 0x32]; 0043A3CC MOV AL,byte ptr [EDI + 0x24]; 0043A3CF MOV ECX,dword ptr [EDI + 0x20]; 0043A3D2 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A405	LAB_0043a405	LAB_0043a405	DEFAULT	cf_join_0043A405	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	0043A405 PUSH 0x7a75cc; 0043A40A PUSH 0x7a4ccc; 0043A40F PUSH 0x0; 0043A411 PUSH 0x0; calls=ReportDebugMessage
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A42C	LAB_0043a42c	LAB_0043a42c	DEFAULT	cf_join_0043A42C	join	1	4	0	0	medium	multi-predecessor target; semantic role requires review	0043A42C MOV DX,word ptr [EDI + 0x32]; 0043A430 MOV AL,byte ptr [EDI + 0x24]; 0043A433 MOV ECX,dword ptr [EDI + 0x20]; 0043A436 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043A459	LAB_0043a459	LAB_0043a459	DEFAULT	cf_join_0043A459	join	2	3	0	0	medium	multi-predecessor target; semantic role requires review	0043A459 PUSH 0x1; 0043A45B PUSH EBX; 0043A45C MOV ECX,ESI; 0043A45E CALL 0x00405920; calls=STAllPlayersC::PushTV
