apply	owner	parent_offset	type_path	length	field_count	access_count	confidence	reason
0	StartSystemTy	52	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_0034	164	3	14	review	multiple non-overlapping fixed offsets through one class pointer field
0	StartSystemTy	752	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_02F0	16	3	5	review	multiple non-overlapping fixed offsets through one class pointer field
0	StartSystemTy	1348	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_0544	12	2	7	review	multiple non-overlapping fixed offsets through one class pointer field
0	StartSystemTy	1662	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_067E	24	4	11	review	multiple non-overlapping fixed offsets through one class pointer field
0	StartSystemTy	1666	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_0682	24	4	7	review	multiple non-overlapping fixed offsets through one class pointer field
0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00416270	742	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_00416270_02E6	32	4	8	review	multiple non-overlapping fixed offsets through one class pointer field
0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004167A0	151	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_004167A0_0097	16	4	9	review	multiple non-overlapping fixed offsets through one class pointer field
0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0054A9B0	1255	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_0054A9B0_04E7	37	4	12	review	multiple non-overlapping fixed offsets through one class pointer field
0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0054A9B0	1259	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_0054A9B0_04EB	76	7	22	review	multiple non-overlapping fixed offsets through one class pointer field
0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00573260	4	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_00573260_0004	132	4	8	review	multiple non-overlapping fixed offsets through one class pointer field
0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0060EF40	733	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_0060EF40_02DD	36	10	33	review	multiple non-overlapping fixed offsets through one class pointer field
0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0064A970	0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_0064A970_0000	48	9	25	review	multiple non-overlapping fixed offsets through one class pointer field
0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_006CEC40	644	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_006CEC40_0284	16	3	17	review	multiple non-overlapping fixed offsets through one class pointer field
0	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_006CEC40	648	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__AnonReceiver_006CEC40_0288	44	7	82	review	multiple non-overlapping fixed offsets through one class pointer field
0	TLOBaseTy	501	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_01F5	532	11	18	review	multiple non-overlapping fixed offsets through one class pointer field
0	TLOBaseTy	657	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_0291	72	3	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	TLOBaseTy	1460	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_05B4	737	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	TLOBaseTy	1543	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_0607	24	6	15	review	multiple non-overlapping fixed offsets through one class pointer field
0	TLOFakeTy	589	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOFakeTy_024D	12	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	WaitTy	12	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_WaitTy_000C	24	2	7	review	multiple non-overlapping fixed offsets through one class pointer field
0	WaitTy	6747	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_WaitTy_1A5B	1718	11	57	review	multiple non-overlapping fixed offsets through one class pointer field
0	WaitTy	6892	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_WaitTy_1AEC	24	4	9	review	multiple non-overlapping fixed offsets through one class pointer field
0	WaitTy	6896	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_WaitTy_1AF0	24	2	9	review	multiple non-overlapping fixed offsets through one class pointer field
0	WaitTy	6904	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_WaitTy_1AF8	27	5	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	WaitTy	6908	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_WaitTy_1AFC	27	5	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	WaitTy	6912	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_WaitTy_1B00	27	5	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	cLoadingTy	4	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_cLoadingTy_0004	24	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	cLoadingTy	8	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_cLoadingTy_0008	112	8	8	review	multiple non-overlapping fixed offsets through one class pointer field
