apply	action	type_path	replacement_path	expected_replacement	expected_length	expected_parents	expected_function_uses	expected_listing_uses	expected_description	reason
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_0199			20	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=6967b35026a7a0d03d069d308a63d4d3c6fc72d6e2636a9fb2256c3656bed4e8	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_0199 *32			4	1	0	0	32-bit pointer to AnonPointee_STGameObjC_0199	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01AD			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=8dbed36be9e8877b4781164c93c216243971457b49bf544bc8a04b7592c7e8b9	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01AD *32			4	1	0	0	32-bit pointer to AnonPointee_STGameObjC_01AD	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B1			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=57034f70f3a115cf23f7b25f84c5d4d2296629de53af53b3be8c42f60fe7c8ff	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B1 *32			4	1	0	0	32-bit pointer to AnonPointee_STGameObjC_01B1	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B5			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=69073c045fde6cbe6472df8af90f6c1b5cef175035cd2eca50cf7655545e2050	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B5 *32			4	1	0	0	32-bit pointer to AnonPointee_STGameObjC_01B5	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B9			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=be8db155a8f254a54ccb285a57baf49fb8b315188ef21820b22d90df390cae57	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B9 *32			4	1	0	0	32-bit pointer to AnonPointee_STGameObjC_01B9	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STMineSetC_0211			92	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=64a14a3bd9cb9ad35bc0923e2421fba004ae7a7254131fe6903e21198e61dd60	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STMineSetC_0211 *32			4	1	0	0	32-bit pointer to AnonPointee_STMineSetC_0211	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STParticleC_00EB			500	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=d93b2e24fb58c6f5e01ffce1c14d47dab037bf599846f25e31d8dbc9bea9aca5	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STParticleC_00EB *32			4	1	0	0	32-bit pointer to AnonPointee_STParticleC_00EB	still referenced
