target	action	status	detail
005FEB60@005FED55	apply	unchanged	exact call-site ABI already present
005FEB60@005FEE5C	apply	unchanged	exact call-site ABI already present
005FF3A0@005FF3CD	apply	unchanged	exact call-site ABI already present
00601500@00601853	apply	unchanged	exact call-site ABI already present
00601500@0060188B	apply	unchanged	exact call-site ABI already present
00601500@00601A82	apply	unchanged	exact call-site ABI already present
0060AEF0@0060B154	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0060AEF0@0060B16F	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0060AEF0@0060B2E5	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0060AEF0@0060B308	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0060AEF0@0060B389	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0060AEF0@0060B49E	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0060AEF0@0060B61B	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0060C320@0060C4F0	apply	unchanged	exact call-site ABI already present
0060C320@0060C60C	apply	unchanged	exact call-site ABI already present
0060C320@0060C62C	apply	unchanged	exact call-site ABI already present
0060EF40@0060F1E2	apply	unchanged	exact call-site ABI already present
00614400@006146A1	apply	unchanged	exact call-site ABI already present
00614400@0061479E	apply	unchanged	exact call-site ABI already present
00618240@00618465	apply	unchanged	exact call-site ABI already present
00618240@00618581	apply	unchanged	exact call-site ABI already present
0061B340@0061B555	apply	unchanged	exact call-site ABI already present
0061B340@0061B567	apply	unchanged	exact call-site ABI already present
0061B340@0061BAC0	apply	unchanged	exact call-site ABI already present
0061B340@0061BAD2	apply	unchanged	exact call-site ABI already present
0061CA90@0061CC76	apply	unchanged	exact call-site ABI already present
0061CA90@0061CD78	apply	unchanged	exact call-site ABI already present
00625730@006259D6	apply	unchanged	exact call-site ABI already present
00625730@00625B8A	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00625730@00625CE3	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00625730@00625F13	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00625730@0062605C	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
006264D0@00626896	apply	unchanged	exact call-site ABI already present
00627400@0062758D	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00627700@00627768	apply	unchanged	exact call-site ABI already present
00627790@00627816	apply	unchanged	exact call-site ABI already present
0062AF90@0062B19D	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00637350@0063751B	apply	unchanged	exact call-site ABI already present
00637350@00637610	apply	unchanged	exact call-site ABI already present
00637350@0063767C	apply	unchanged	exact call-site ABI already present
006383E0@006385EE	apply	unchanged	exact call-site ABI already present
00648030@006481BC	apply	unchanged	exact call-site ABI already present
0064A970@0064ACD7	apply	unchanged	exact call-site ABI already present
0064A970@0064ACE0	apply	unchanged	exact call-site ABI already present
0064A970@0064AE69	apply	unchanged	exact call-site ABI already present
0064A970@0064AE72	apply	unchanged	exact call-site ABI already present
0064A970@0064B1C4	apply	unchanged	exact call-site ABI already present
0064A970@0064B2BE	apply	unchanged	exact call-site ABI already present
0064A970@0064B2C7	apply	unchanged	exact call-site ABI already present
0064A970@0064B4B5	apply	unchanged	exact call-site ABI already present
0064A970@0064B738	apply	unchanged	exact call-site ABI already present
0064A970@0064B741	apply	unchanged	exact call-site ABI already present
0064A970@0064BC5A	apply	unchanged	exact call-site ABI already present
0065BD70@0065C0B8	apply	unchanged	exact call-site ABI already present
0065BD70@0065C0ED	apply	unchanged	exact call-site ABI already present
0065BD70@0065C138	apply	unchanged	exact call-site ABI already present
0065DA50@0065DB62	apply	unchanged	exact call-site ABI already present
0065DC00@0065DC90	apply	unchanged	exact call-site ABI already present
0065DD30@0065DDCC	apply	unchanged	exact call-site ABI already present
0065E070@0065E133	apply	unchanged	exact call-site ABI already present
0065E3B0@0065E400	apply	unchanged	exact call-site ABI already present
0065FE10@0065FF66	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
00660180@006602A8	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
0066ACC0@0066AF08	apply	unchanged	exact call-site ABI already present
0066ACC0@0066B114	apply	unchanged	exact call-site ABI already present
0066ACC0@0066B532	apply	unchanged	exact call-site ABI already present
0066ACC0@0066B53E	apply	unchanged	exact call-site ABI already present
0066ACC0@0066B556	apply	unchanged	exact call-site ABI already present
0066ACC0@0066B569	apply	unchanged	exact call-site ABI already present
0066ACC0@0066B7A0	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C3B8	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C41E	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C429	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C434	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C43F	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C44A	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C455	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C460	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C472	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C560	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C5C6	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C5D1	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C5DC	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C5E7	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C5F2	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C5FD	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C608	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C615	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C7B3	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C819	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C824	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C82F	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C83A	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C845	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C850	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C85B	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C866	apply	unchanged	exact call-site ABI already present
0066ACC0@0066C95C	apply	unchanged	exact call-site ABI already present
0066ACC0@0066CBD9	apply	unchanged	exact call-site ABI already present
0066ACC0@0066CE56	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D0D6	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D37A	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D3DE	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D3E9	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D3F4	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D3FF	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D40A	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D415	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D420	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D42C	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D769	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D774	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D77F	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D78A	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D795	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D7A0	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D7A8	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D93B	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D99F	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D9AA	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D9B5	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D9C0	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D9CB	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D9D6	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D9E1	apply	unchanged	exact call-site ABI already present
0066ACC0@0066D9ED	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DC97	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DCA2	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DCAD	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DCB8	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DCC3	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DCCE	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DCD6	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DCE1	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DE87	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DEF1	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DEFC	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DF07	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DF12	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DF1D	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DF28	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DF33	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DF3F	apply	unchanged	exact call-site ABI already present
0066ACC0@0066DF4A	apply	unchanged	exact call-site ABI already present
0066ACC0@0066E3B2	apply	unchanged	exact call-site ABI already present
0066ACC0@0066E45B	apply	unchanged	exact call-site ABI already present
0066ACC0@0066E689	apply	unchanged	exact call-site ABI already present
0066ACC0@0066E72D	apply	unchanged	exact call-site ABI already present
0066ACC0@0066E899	apply	unchanged	exact call-site ABI already present
0066ACC0@0066E939	apply	unchanged	exact call-site ABI already present
0066ACC0@0066EA54	apply	unchanged	exact call-site ABI already present
0066ACC0@0066EAF2	apply	unchanged	exact call-site ABI already present
0066ACC0@0066ECCD	apply	unchanged	exact call-site ABI already present
0066ACC0@0066ED73	apply	unchanged	exact call-site ABI already present
0066ACC0@0066F76A	apply	unchanged	exact call-site ABI already present
0066ACC0@0066F776	apply	unchanged	exact call-site ABI already present
0066ACC0@0066F8D3	apply	unchanged	exact call-site ABI already present
0066ACC0@0066F8EF	apply	unchanged	exact call-site ABI already present
0066ACC0@0066F8FA	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FA4D	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FA6D	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FA78	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FBA9	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FDE3	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FE03	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FE0E	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FE19	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FE24	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FE2F	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FE3A	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FE45	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FE51	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FE5C	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FE67	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FFEE	apply	unchanged	exact call-site ABI already present
0066ACC0@0066FFF9	apply	unchanged	exact call-site ABI already present
0066ACC0@00670033	apply	unchanged	exact call-site ABI already present
0066ACC0@0067004F	apply	unchanged	exact call-site ABI already present
0066ACC0@0067005B	apply	unchanged	exact call-site ABI already present
0066ACC0@00670066	apply	unchanged	exact call-site ABI already present
0066ACC0@00670071	apply	unchanged	exact call-site ABI already present
0066ACC0@006701BB	apply	unchanged	exact call-site ABI already present
0066ACC0@006701ED	apply	unchanged	exact call-site ABI already present
0066ACC0@00670397	apply	unchanged	exact call-site ABI already present
0066ACC0@006703B3	apply	unchanged	exact call-site ABI already present
0066ACC0@006703BE	apply	unchanged	exact call-site ABI already present
0066ACC0@006703C9	apply	unchanged	exact call-site ABI already present
0066ACC0@006703D4	apply	unchanged	exact call-site ABI already present
00671F10@006720CA	apply	unchanged	exact call-site ABI already present
00671F10@00672201	apply	unchanged	exact call-site ABI already present
00675B10@00675C12	apply	unchanged	exact call-site ABI already present
0067C7E0@0067C8B4	apply	unchanged	exact call-site ABI already present
0067C7E0@0067C9DD	apply	unchanged	exact call-site ABI already present
006E3DD0@006E3FE4	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
006E3DD0@006E402B	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
006E4960@006E4A6A	apply	unchanged	exact call-site ABI already present
006E4960@006E4AED	apply	unchanged	exact call-site ABI already present
006E4FC0@006E512D	apply	unchanged	exact call-site ABI already present
006E5970@006E59E5	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
006E5970@006E59F3	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
006E5970@006E5B95	apply	presented	Ghidra retained raw syntax; use-site override rolled back and exact address-stable structural presentation retained
006E5D90@006E5DE7	apply	unchanged	exact call-site ABI already present
006E5D90@006E5E7C	apply	unchanged	exact call-site ABI already present
0071F3A0@0071F655	apply	unchanged	exact call-site ABI already present
0071F3A0@0071FA38	apply	unchanged	exact call-site ABI already present
007244B0@007246C9	apply	unchanged	exact call-site ABI already present
007244B0@00724743	apply	unchanged	exact call-site ABI already present
