function_address	function	parameter_ordinal	parameter_name	parameter_type	storage	frame_offset	qualifies	selected	score	direct_reads	scalar_operations	signed_comparisons	unsigned_bounds	pointer_dereferences	slot_reused	evidence
005B7EF0	MMsgTy::SetMessage	3	param_3	pointer:/undefined4	Stack[0xc]:4	0x10	0	0	300	3	0	0	0	0	0	005B8170 incoming load: MOV EAX,dword ptr [EBP + 0x10] | 005B82F8 incoming load: MOV EAX,dword ptr [EBP + 0x10] | 005B8394 incoming load: MOV EAX,dword ptr [EBP + 0x10]
005B7EF0	MMsgTy::SetMessage	4	param_4	pointer:/undefined4	Stack[0x10]:4	0x10	0	0	300	3	0	0	0	0	0	005B8170 incoming load: MOV EAX,dword ptr [EBP + 0x10] | 005B82F8 incoming load: MOV EAX,dword ptr [EBP + 0x10] | 005B8394 incoming load: MOV EAX,dword ptr [EBP + 0x10]
005B7EF0	MMsgTy::SetMessage	4	param_4	pointer:/undefined4	Stack[0x10]:4	0x14	0	0	200	2	0	0	0	0	0	005B81E9 incoming load: MOV ESI,dword ptr [EBP + 0x14] | 005B8371 incoming load: MOV ESI,dword ptr [EBP + 0x14]
005B7EF0	MMsgTy::SetMessage	5	param_5	pointer:/undefined4	Stack[0x14]:4	0x14	0	0	200	2	0	0	0	0	0	005B81E9 incoming load: MOV ESI,dword ptr [EBP + 0x14] | 005B8371 incoming load: MOV ESI,dword ptr [EBP + 0x14]
005B7EF0	MMsgTy::SetMessage	5	param_5	pointer:/undefined4	Stack[0x14]:4	0x18	0	0	100	1	0	0	0	0	0	005B826A incoming load: MOV ESI,dword ptr [EBP + 0x18]
005B8F40	MMsgTy::FUN_005b8f40	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
005B8F40	MMsgTy::FUN_005b8f40	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	4	0	005B8F43 incoming load: MOV EAX,dword ptr [EBP + 0x8] | 005B8F4B pointer-like dereference: MOV ESI,dword ptr [EAX] | 005B8F5B pointer-like dereference: MOV ESI,dword ptr [EAX + 0x4] | 005B8F61 pointer-like dereference: MOV ESI,dword ptr [EAX + 0x8] | 005B8F67 pointer-like dereference: MOV AL,byte ptr [EAX + 0xc]
005B99F0	MMMObjTy::OutEdProc	8	param_8	pointer:/undefined4	Stack[0x20]:4	0x20	0	0	200	2	0	0	0	0	0	005B9A2F incoming load: MOV ECX,dword ptr [EBP + 0x20] | 005B9A4E incoming load: MOV EDX,dword ptr [EBP + 0x20]
005B99F0	MMMObjTy::OutEdProc	8	param_8	pointer:/undefined4	Stack[0x20]:4	0x24	0	0	100	1	0	0	0	0	0	005B99F6 incoming load: MOV EAX,dword ptr [EBP + 0x24]
005BAE00	PrividerTy::NonePrivider	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
