apply	function_address	function_name	original_name	merge_group	merge_group_count	expected_current_type	expected_symbol_source	proposed_type	anchor_kind	anchor_address	anchor_time	anchor_operand	direct_target_address	resolved_target_address	anchor_source	supporting_anchors	evidence_count	confidence	reason
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00436087	2538	1	006ACC70	006ACC70	ANALYSIS	00436087:t2538:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	004360FC	636	1	006ACC70	006ACC70	ANALYSIS	004360FC:t636:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	0043617E	2907	1	006ACC70	006ACC70	ANALYSIS	0043617E:t2907:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	004361FE	2706	1	006ACC70	006ACC70	ANALYSIS	004361FE:t2706:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00436284	1599	1	006ACC70	006ACC70	ANALYSIS	00436284:t1599:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00436301	1398	1	006ACC70	006ACC70	ANALYSIS	00436301:t1398:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00436383	1186	1	006ACC70	006ACC70	ANALYSIS	00436383:t1186:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	0043640D	2158	1	006ACC70	006ACC70	ANALYSIS	0043640D:t2158:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00436486	1968	1	006ACC70	006ACC70	ANALYSIS	00436486:t1968:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00436503	996	1	006ACC70	006ACC70	ANALYSIS	00436503:t996:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	004365B9	3917	1	006ACC70	006ACC70	ANALYSIS	004365B9:t3917:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	004366E8	4143	1	006ACC70	006ACC70	ANALYSIS	004366E8:t4143:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	0043678F	4404	1	006ACC70	006ACC70	ANALYSIS	0043678F:t4404:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	00436802	4569	1	006ACC70	006ACC70	ANALYSIS	00436802:t4569:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
0	00435B90	FUN_00435b90	param_4	0	1	pointer:/int	DEFAULT	/uint	call_argument	0043688D	4774	1	006ACC70	006ACC70	ANALYSIS	0043688D:t4774:call_argument:1:006ACC70:006ACC70	1	review	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only
