apply	shape_id	type_path	length	target_count	field_count	confidence	reason
0	AnonShape_00430620_0186FD6C	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00430620_0186FD6C	28	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00430A90_30AD5D09	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00430A90_30AD5D09	12	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00430A90_FED4A4B9	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00430A90_FED4A4B9	12	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00438E30_8253E3EA	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00438E30_8253E3EA	16	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00440AA0_D2D43F84	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00440AA0_D2D43F84	48	1	2	review	single/weak fixed-offset profile retained for review
0	AnonShape_00443F30_5DF553AC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00443F30_5DF553AC	2112	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004455C0_E4BAA5BB	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004455C0_E4BAA5BB	52	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00446F80_A0CAAEC9	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00446F80_A0CAAEC9	16	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0044C720_9C70C8C1	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0044C720_9C70C8C1	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0045FF30_A86BE482	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0045FF30_A86BE482	1120	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00465C60_5A5114E0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00465C60_5A5114E0	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0046B100_3651424F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0046B100_3651424F	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0046D450_4CF8701D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0046D450_4CF8701D	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0046F5C0_F7F058B4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0046F5C0_F7F058B4	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004732F0_0D68122B	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004732F0_0D68122B	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004749C0_E4FF35AF	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004749C0_E4FF35AF	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00475530_812F4BB9	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00475530_812F4BB9	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004758E0_F1A71984	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004758E0_F1A71984	8	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00479600_EE2D84B9	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00479600_EE2D84B9	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0047D080_DE6FC298	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0047D080_DE6FC298	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0047DA50_46820927	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0047DA50_46820927	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_0047DF00_463B9A86	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0047DF00_463B9A86	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004803D0_7C8DD033	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004803D0_7C8DD033	1820	1	2	review	single/weak fixed-offset profile retained for review
0	AnonShape_00480600_D0E345D5	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00480600_D0E345D5	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00483300_532AD888	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00483300_532AD888	4	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_004845E0_967D2F03	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004845E0_967D2F03	36	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00486E20_EA4891D8	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00486E20_EA4891D8	20	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00488890_58D78602	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00488890_58D78602	40	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00488EE0_F969607B	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00488EE0_F969607B	12	1	2	review	single/weak fixed-offset profile retained for review
0	AnonShape_00489950_C0CE8121	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00489950_C0CE8121	644	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00493110_AE0208E1	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00493110_AE0208E1	500	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00493D10_C7226905	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00493D10_C7226905	1788	1	1	review	single/weak fixed-offset profile retained for review
1	AnonShape_00494AE0_7F188308	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00494AE0_7F188308	1948	1	11	layout	multiple consistent fixed offsets in one persistent target
0	AnonShape_00497E00_1016C93D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00497E00_1016C93D	64	1	2	review	single/weak fixed-offset profile retained for review
