apply	family_id	canonical_type	member_type	length	named_fields	evidence
0	EXACT_A1DC09B48C32	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A	8	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_A1DC09B48C32	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_000C	8	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_A1DC09B48C32	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_004F3FE0_1578D6B9_0018_7B0E2AAD	8	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_A1DC09B48C32	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_005F9F70_43CA4DAC_02E6_A919D50D	8	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_A1DC09B48C32	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00757D90_5427B306_0010_D8C59A06	8	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_A1DC09B48C32	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_0075DF10_BA4C6604_0000_7BE2CA10	8	0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
0	EXACT_A37677F93D02	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5A10_DB2339A4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5A10_DB2339A4	1184	0	anonymous geometry match only; no named semantic anchor
0	EXACT_A37677F93D02	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5A10_DB2339A4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5B00_75F2A72F	1184	0	anonymous geometry match only; no named semantic anchor
0	EXACT_A37677F93D02	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5A10_DB2339A4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5BF0_474F0272	1184	0	anonymous geometry match only; no named semantic anchor
0	EXACT_A37677F93D02	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5A10_DB2339A4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006C5D00_C5C8A2E6	1184	0	anonymous geometry match only; no named semantic anchor
