apply	function_address	expected_function	expected_signature	expected_signature_source	expected_calling_convention	expected_return_type	expected_return_source	expected_parameter_count	expected_parameter_name	expected_parameter_type	expected_parameter_source	proposed_calling_convention	proposed_return_type	proposed_parameter_name	proposed_parameter_type	shared_zero_stub	confidence	reason	evidence
0	00589C10	STOctopusC::GetMessage	int __thiscall GetMessage(STOctopusC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00403B1B|00589C10; family_names=STOctopusC::GetMessage; ret4=11; direct_offsets={10:2,14:3,18:3,1c:0}
0	0058C760	STSatC::GetMessage	int __thiscall GetMessage(STSatC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004022B1|0058C760; family_names=STSatC::GetMessage; ret4=9; direct_offsets={10:2,14:3,18:1,1c:0}
0	0058D7C0	STSharkC::GetMessage	int __thiscall GetMessage(STSharkC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00404665|0058D7C0; family_names=STSharkC::GetMessage; ret4=10; direct_offsets={10:2,14:3,18:5,1c:0}
0	005908B0	MAdvTy::GetMessage	int __thiscall GetMessage(MAdvTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401703|005908B0; family_names=MAdvTy::GetMessage; ret4=2; direct_offsets={10:2,14:2,18:0,1c:0}
0	00593040	CampaignTy::GetMessage	int __thiscall GetMessage(CampaignTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402752|00593040; family_names=CampaignTy::GetMessage; ret4=2; direct_offsets={10:2,14:6,18:0,1c:0}
0	00594440	ComboTy::GetMessage	int __thiscall GetMessage(ComboTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402289|00594440; family_names=ComboTy::GetMessage; ret4=2; direct_offsets={10:1,14:4,18:3,1c:0}
0	005A4350	FSGSTy::GetMessage	int __thiscall GetMessage(FSGSTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00404165|005A4350; family_names=FSGSTy::GetMessage; ret4=2; direct_offsets={10:8,14:74,18:16,1c:34}
0	005B0BA0	ChooseMapTy::GetMessage	int __thiscall GetMessage(ChooseMapTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402E4B|005B0BA0; family_names=ChooseMapTy::GetMessage; ret4=2; direct_offsets={10:4,14:24,18:5,1c:0}
0	005B4BB0	MainMenuTy::GetMessage	int __thiscall GetMessage(MainMenuTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=0040280B|005B4BB0; family_names=MainMenuTy::GetMessage; ret4=2; direct_offsets={10:9,14:1,18:0,1c:0}
0	005B6430	MMObjTy::GetMessage	int __thiscall GetMessage(MMObjTy * this, STMessage * message)	ANALYSIS	__thiscall	/int	ANALYSIS	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401280|005B6430; family_names=MMObjTy::GetMessage; ret4=1; direct_offsets={10:0,14:0,18:0,1c:0}
0	005B9330	MMsgTy::GetMessage	int __thiscall GetMessage(MMsgTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=0040198D|005B9330; family_names=MMsgTy::GetMessage; ret4=2; direct_offsets={10:4,14:0,18:0,1c:0}
0	005BC5E0	PrividerTy::GetMessage	int __thiscall GetMessage(PrividerTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401CC6|005BC5E0; family_names=PrividerTy::GetMessage; ret4=2; direct_offsets={10:4,14:10,18:5,1c:0}
0	005C1A90	MReportTy::GetMessage	int __thiscall GetMessage(MReportTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402AD1|005C1A90; family_names=MReportTy::GetMessage; ret4=2; direct_offsets={10:2,14:10,18:5,1c:3}
0	005C8A40	SettMapTy::GetMessage	int __thiscall GetMessage(SettMapTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=0040327E|005C8A40; family_names=SettMapTy::GetMessage; ret4=2; direct_offsets={10:14,14:29,18:15,1c:13}
