item_kind	item_id	locator	status	detail
type	AnonShape_00488890_58D78602	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00488890_58D78602	disabled	apply=0
type	AnonShape_00488EE0_F969607B	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00488EE0_F969607B	disabled	apply=0
type	AnonShape_00489950_C0CE8121	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00489950_C0CE8121	disabled	apply=0
type	AnonShape_00492370_3EC6BC80	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00492370_3EC6BC80	disabled	apply=0
type	AnonShape_00493110_AE0208E1	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00493110_AE0208E1	disabled	apply=0
type	AnonShape_00493D10_C7226905	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00493D10_C7226905	disabled	apply=0
type	AnonShape_00497E00_1016C93D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00497E00_1016C93D	disabled	apply=0
type	AnonShape_0049A500_3F03246E	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0049A500_3F03246E	disabled	apply=0
type	AnonShape_004AD510_C348FA0E	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004AD510_C348FA0E	disabled	apply=0
type	AnonShape_004AD610_D99117A2	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004AD610_D99117A2	disabled	apply=0
type	AnonShape_004AD650_130F68B4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004AD650_130F68B4	disabled	apply=0
type	AnonShape_004ADBA0_37B5DF98	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004ADBA0_37B5DF98	disabled	apply=0
type	AnonShape_004AF080_5D31BF96	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004AF080_5D31BF96	disabled	apply=0
type	AnonShape_004B0D10_23CAA7D2	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B0D10_23CAA7D2	disabled	apply=0
type	AnonShape_004B1120_1111C23F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B1120_1111C23F	disabled	apply=0
type	AnonShape_004B31C0_F3AB8C37	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B31C0_F3AB8C37	disabled	apply=0
type	AnonShape_004B7F90_52B9DCE0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B7F90_52B9DCE0	disabled	apply=0
type	AnonShape_004B9CF0_E7768DFA	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B9CF0_E7768DFA	disabled	apply=0
type	AnonShape_004B9D20_D1F14E75	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B9D20_D1F14E75	disabled	apply=0
type	AnonShape_004B9FA0_720E2108	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004B9FA0_720E2108	disabled	apply=0
type	AnonShape_004BE1D0_AF7E63F0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004BE1D0_AF7E63F0	disabled	apply=0
type	AnonShape_004C2840_F23E8156	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C2840_F23E8156	disabled	apply=0
type	AnonShape_004C2C10_99EB57EC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C2C10_99EB57EC	disabled	apply=0
type	AnonShape_004C3C00_A7B0A4C0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C3C00_A7B0A4C0	disabled	apply=0
type	AnonShape_004C5980_81D16755	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C5980_81D16755	disabled	apply=0
type	AnonShape_004C5E60_EA3D928C	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C5E60_EA3D928C	disabled	apply=0
type	AnonShape_004C6070_F5B707F0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C6070_F5B707F0	disabled	apply=0
type	AnonShape_004C6210_D9E1F216	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C6210_D9E1F216	disabled	apply=0
type	AnonShape_004C6440_6279B706	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C6440_6279B706	disabled	apply=0
type	AnonShape_004C7230_5217D923	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C7230_5217D923	disabled	apply=0
type	AnonShape_004C7C20_DD208578	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C7C20_DD208578	disabled	apply=0
type	AnonShape_004C9430_B2A6F679	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004C9430_B2A6F679	disabled	apply=0
type	AnonShape_004CBA30_59486901	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CBA30_59486901	disabled	apply=0
type	AnonShape_004CBF30_3E187AD6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CBF30_3E187AD6	disabled	apply=0
type	AnonShape_004CBF70_37AA74A6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CBF70_37AA74A6	disabled	apply=0
type	AnonShape_004CBFB0_80EF7FDF	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CBFB0_80EF7FDF	disabled	apply=0
type	AnonShape_004CC040_20E655C2	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CC040_20E655C2	disabled	apply=0
type	AnonShape_004CC330_B7982726	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CC330_B7982726	disabled	apply=0
type	AnonShape_004CC7F0_1C8F1109	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CC7F0_1C8F1109	disabled	apply=0
type	AnonShape_004CD390_BC3EDD5A	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CD390_BC3EDD5A	disabled	apply=0
type	AnonShape_004CD6F0_B6FC69DC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CD6F0_B6FC69DC	disabled	apply=0
type	AnonShape_004CE640_336DA25F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CE640_336DA25F	disabled	apply=0
type	AnonShape_004CEB00_F62239C4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004CEB00_F62239C4	disabled	apply=0
type	AnonShape_004D01F0_A7BA5910	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D01F0_A7BA5910	disabled	apply=0
type	AnonShape_004D0A80_AEED3115	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D0A80_AEED3115	disabled	apply=0
type	AnonShape_004D3290_0F1DF113	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D3290_0F1DF113	disabled	apply=0
type	AnonShape_004D32C0_D3D0A0C9	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D32C0_D3D0A0C9	disabled	apply=0
type	AnonShape_004D6360_6131855A	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D6360_6131855A	disabled	apply=0
type	AnonShape_004D6930_F065C28A	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D6930_F065C28A	disabled	apply=0
type	AnonShape_004D6D50_2315CC10	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D6D50_2315CC10	disabled	apply=0
type	AnonShape_004D7040_D83D570C	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D7040_D83D570C	disabled	apply=0
type	AnonShape_004D8D40_E38296AE	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D8D40_E38296AE	disabled	apply=0
type	AnonShape_004D95A0_E0EC0EDA	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004D95A0_E0EC0EDA	disabled	apply=0
type	AnonShape_004DA230_146070EB	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DA230_146070EB	disabled	apply=0
type	AnonShape_004DBE00_6A369FCE	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DBE00_6A369FCE	disabled	apply=0
type	AnonShape_004DBF30_A21FD76C	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DBF30_A21FD76C	disabled	apply=0
type	AnonShape_004DCC80_51520547	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DCC80_51520547	disabled	apply=0
type	AnonShape_004DCCF0_9EF15352	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DCCF0_9EF15352	disabled	apply=0
type	AnonShape_004DD2B0_72D0AD44	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DD2B0_72D0AD44	disabled	apply=0
type	AnonShape_004DD350_A9264D08	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DD350_A9264D08	disabled	apply=0
type	AnonShape_004DD690_445B44C4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DD690_445B44C4	disabled	apply=0
type	AnonShape_004DE000_A2D9992B	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DE000_A2D9992B	disabled	apply=0
type	AnonShape_004DE030_FF2F073D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DE030_FF2F073D	disabled	apply=0
type	AnonShape_004DE0D0_7D361D61	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DE0D0_7D361D61	disabled	apply=0
type	AnonShape_004DE7B0_5F4E7C57	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DE7B0_5F4E7C57	disabled	apply=0
type	AnonShape_004DE820_B766666A	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DE820_B766666A	disabled	apply=0
type	AnonShape_004DEF50_827A6EEF	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DEF50_827A6EEF	disabled	apply=0
type	AnonShape_004DEFF0_D4187D59	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DEFF0_D4187D59	disabled	apply=0
type	AnonShape_004DF100_3B3D6BBD	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DF100_3B3D6BBD	disabled	apply=0
type	AnonShape_004DF1A0_EBE752D6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DF1A0_EBE752D6	disabled	apply=0
type	AnonShape_004DF910_541A5D53	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004DF910_541A5D53	disabled	apply=0
