function_address	function	call_address	table_register	slot_offset	observed_pushes	last_ecx_assignment	instruction
0061CA90	FUN_0061ca90	0061CC76	EAX	240	0	EBX	CALL dword ptr [EAX + 0xf0]
0061CA90	FUN_0061ca90	0061CD78	EDX	248	0	EBX	CALL dword ptr [EDX + 0xf8]
0061CA90	FUN_0061ca90	0061CDEB	EAX	44	0	EBX	CALL dword ptr [EAX + 0x2c]
0061D0C0	FUN_0061d0c0	0061D14D	EAX	8	7	DWORD PTR [0X00802A38]	CALL dword ptr [EAX + 0x8]
0061F5C0	FUN_0061f5c0	0061F635	EAX	8	7	DWORD PTR [0X00802A38]	CALL dword ptr [EAX + 0x8]
00621B50	STMineSetC::GetMessage	006222E6	EDX	0	0		CALL dword ptr [EDX]
00623600	FUN_00623600	0062388D	EDX	216	0	ESI	CALL dword ptr [EDX + 0xd8]
00623600	FUN_00623600	006238C6	EDX	216	0	ESI	CALL dword ptr [EDX + 0xd8]
006255B0	FUN_006255b0	00625602	EAX	224	5		CALL dword ptr [EAX + 0xe0]
00625730	FUN_00625730	006259D6	EAX	248	0	ESI	CALL dword ptr [EAX + 0xf8]
00625730	FUN_00625730	00625AB5	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
00625730	FUN_00625730	00625ABD	EAX	44	1	ESI	CALL dword ptr [EAX + 0x2c]
00625730	FUN_00625730	00625AEC	EAX	44	0	ESI	CALL dword ptr [EAX + 0x2c]
00625730	FUN_00625730	00625B8A	EDX	44	0	ESI	CALL dword ptr [EDX + 0x2c]
00625730	FUN_00625730	00625CE3	EAX	240	0	ESI	CALL dword ptr [EAX + 0xf0]
00625730	FUN_00625730	00625DFB	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
00625730	FUN_00625730	00625E03	EAX	44	1	ESI	CALL dword ptr [EAX + 0x2c]
00625730	FUN_00625730	00625F13	EDX	248	0	ESI	CALL dword ptr [EDX + 0xf8]
00625730	FUN_00625730	00625F42	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
00625730	FUN_00625730	00625F4A	EAX	44	1	ESI	CALL dword ptr [EAX + 0x2c]
00625730	FUN_00625730	0062605C	EAX	44	0	ESI	CALL dword ptr [EAX + 0x2c]
006264D0	FUN_006264d0	00626798	EDX	240	0	ESI	CALL dword ptr [EDX + 0xf0]
006264D0	FUN_006264d0	00626896	EDX	248	0	EDI	CALL dword ptr [EDX + 0xf8]
006264D0	FUN_006264d0	0062697A	EDI	16	6	EBX	CALL dword ptr [EDI + 0x10]
00626C90	FUN_00626c90	00626CD7	EAX	44	0	EDI	CALL dword ptr [EAX + 0x2c]
00626D70	FUN_00626d70	00626D79	EAX	44	3		CALL dword ptr [EAX + 0x2c]
00626FC0	FUN_00626fc0	00626FFE	EDX	44	0	ESI	CALL dword ptr [EDX + 0x2c]
00627050	FUN_00627050	0062708E	EDX	44	0	ESI	CALL dword ptr [EDX + 0x2c]
00627400	FUN_00627400	0062758D	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
00627700	FUN_00627700	00627768	EDX	0	1	ESI	CALL dword ptr [EDX]
00627790	FUN_00627790	00627816	EAX	0	1	DWORD PTR [0X008117BC]	CALL dword ptr [EAX]
00627850	FUN_00627850	006279E0	EDX	8	5	DWORD PTR [0X00802A38]	CALL dword ptr [EDX + 0x8]
0062A370	FUN_0062a370	0062A58F	EAX	224	5		CALL dword ptr [EAX + 0xe0]
0062AF90	FUN_0062af90	0062B19D	EDX	8	5	DWORD PTR [0X00802A38]	CALL dword ptr [EDX + 0x8]
0062B680	FUN_0062b680	0062B728	EAX	8	8	DWORD PTR [0X00802A38]	CALL dword ptr [EAX + 0x8]
0062B770	FUN_0062b770	0062B7ED	EAX	8	8	DWORD PTR [0X00802A38]	CALL dword ptr [EAX + 0x8]
0062B830	FUN_0062b830	0062B88C	EAX	44	3	ESI	CALL dword ptr [EAX + 0x2c]
0062B830	FUN_0062b830	0062B8C1	EDX	8	5	DWORD PTR [0X00802A38]	CALL dword ptr [EDX + 0x8]
0062B990	FUN_0062b990	0062BA08	EAX	8	8	DWORD PTR [0X00802A38]	CALL dword ptr [EAX + 0x8]
0062E170	FUN_0062e170	0062E1F7	EDX	8	7	DWORD PTR [0X00802A38]	CALL dword ptr [EDX + 0x8]
0062E240	FUN_0062e240	0062E2BE	EDX	44	0		CALL dword ptr [EDX + 0x2c]
00637350	FUN_00637350	0063751B	EAX	240	0	ESI	CALL dword ptr [EAX + 0xf0]
00637350	FUN_00637350	00637610	EDX	248	0	ESI	CALL dword ptr [EDX + 0xf8]
00637350	FUN_00637350	0063767C	EAX	0	1	ESI	CALL dword ptr [EAX]
006383E0	FUN_006383e0	006385EE	EDX	240	0	ESI	CALL dword ptr [EDX + 0xf0]
006383E0	FUN_006383e0	0063860B	EAX	44	0	ESI	CALL dword ptr [EAX + 0x2c]
006383E0	FUN_006383e0	006386C0	EAX	0	1	ESI	CALL dword ptr [EAX]
006389F0	FUN_006389f0	00638AEE	EAX	24	1	DWORD PTR [0X00802A38]	CALL dword ptr [EAX + 0x18]
00638CA0	FUN_00638ca0	00638EBE	EAX	216	0	EBX	CALL dword ptr [EAX + 0xd8]
00638CA0	FUN_00638ca0	006390FD	EDX	216	0	EBX	CALL dword ptr [EDX + 0xd8]
00639670	FUN_00639670	0063988B	EDX	224	5		CALL dword ptr [EDX + 0xe0]
00639C90	FUN_00639c90	0063A02D	EAX	216	0	EBX	CALL dword ptr [EAX + 0xd8]
00639C90	FUN_00639c90	0063A2E4	EDX	216	0	EBX	CALL dword ptr [EDX + 0xd8]
00639C90	FUN_00639c90	0063A61B	EAX	216	0	EBX	CALL dword ptr [EAX + 0xd8]
00639C90	FUN_00639c90	0063A79E	EDX	216	0	EBX	CALL dword ptr [EDX + 0xd8]
