apply	function_address	function_name	parameter_ordinal	expected_name	expected_storage	expected_type	expected_source	proposed_type	shape_id	confidence	reason
0	004E96C0	FUN_004e96c0	1	param_1	Stack[0x4]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004E96C0_P1	CallableReceiver_004E96C0_P1	review	receiver family is not dense enough for a persistent structural view; sites=6; slots=1; exact_extent=37
0	004EAA20	TLOBaseTy::sub_004EAA20	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004D9C80_63C53606	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004EAA20_P0	CallableReceiver_004EAA20_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=2; slots=1; exact_extent=1537
0	004ECEA0	FUN_004ecea0	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004D9C80_63C53606	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004ECEA0_P0	CallableReceiver_004ECEA0_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=1537
0	0055C180	FUN_0055c180	0	param_1	ECX:4	pointer:/Demangler/CFsgsConnection	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0055C180_P0	CallableReceiver_0055C180_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=1722
0	00579350	FUN_00579350	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_00579350_91ECCCD1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00579350_P0	CallableReceiver_00579350_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=635
0	0057A2C0	FUN_0057a2c0	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_0057A2C0_3DDE89E7	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0057A2C0_P0	CallableReceiver_0057A2C0_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=2; slots=1; exact_extent=71
0	0057B350	FUN_0057b350	0	param_1	Stack[0x4]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0057B350_P0	CallableReceiver_0057B350_P0	review	receiver family is not dense enough for a persistent structural view; parameter storage is overwritten and has multiple compiler lifetimes; sites=2; slots=1; exact_extent=71
0	00584B10	FUN_00584b10	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_00584B10_465CC529	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00584B10_P0	CallableReceiver_00584B10_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=600
0	00584C50	FUN_00584c50	1	param_1	Stack[0x4]:4	pointer:/undefined4	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00584C50_P1	CallableReceiver_00584C50_P1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=10
0	00585020	FUN_00585020	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_00585020_EFC427BB	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00585020_P0	CallableReceiver_00585020_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=3; slots=1; exact_extent=648
